,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,optuna_cost,optuna_trial,dcl_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP
114,15,10,5,10,5.0,1,5,6,2.184785000000001,3,68.75,1.90118,99425,1.863335,1.843815,1.842225,0.0,0.0,1.7844,0.129809111651719,0.14713118224447758,0.15679346022606386,0.1832605954361646,0.01990605834271354,0.031009688719637322,0.06142500973079882
115,16,10,1,20,5.0,1,5,2,1.45046,0,87.5,0.4486499999999999,43057,1.13613,0.906045,0.7210949999999999,0.852445,63.0,0.5166,0.6906843346248778,0.2167105607876122,0.5028508197399446,0.6438371275319554,-1.532330324306253,-0.6072550986292212,-0.151454363089268
116,17,10,2,20,5.0,1,5,2,1.47607,0,82.5,0.821775,44867,1.26961,1.072885,1.027465,1.041245,72.0,0.8716,0.44326827318487605,0.139871415312282,0.3039185133496378,0.40951309897227095,-0.5449606035715371,-0.250299656231937,-0.06063095129445409
117,18,10,3,20,5.0,1,5,2,1.566395,0,78.75,1.021305,60199,1.313435,1.25736,1.135655,1.14028,36.0,1.1715,0.34799013020342895,0.16149183315830304,0.27498810964028864,0.2521043542656865,-0.2860360029570011,-0.11196459431805404,-0.14706184734237088
118,19,10,4,20,5.0,1,5,3,1.61628,0,75.0,1.15871,34552,1.370045,1.255065,1.22931,0.0,0.0,1.1721,0.28310070037369767,0.15234674685079316,0.23942014997401442,0.274816244710075,-0.18238817305451757,-0.060929827135348794,-0.011555954466605116
119,20,10,5,20,5.0,1,5,3,1.63139,0,71.25,1.252025,27898,1.396015,1.33792,1.296595,1.382375,5.0,1.2104,0.23254096200172858,0.14427880519066558,0.20522070136509354,0.25805601358350855,-0.11500569078093494,-0.0355983307042591,0.03324614125117312
140,41,10,1,5,1.0,1,5,5,2.28247,2,63.75,2.00171,68789,1.791815,1.86897,1.776895,0.0,0.0,1.7541,0.12300709319290062,0.2149666808326068,0.22150345897207854,0.23149044675285985,0.10485784654120735,0.11231147368999515,0.12369923715223488
141,42,10,2,5,1.0,1,5,7,2.489065000000001,3,56.25,2.32235,13315,2.30172,2.286765,2.32993,0.0,0.0,2.2464,0.06697896599727238,0.0752672188150976,0.06393364576658338,0.09749243189711837,0.008883243266518891,-0.0032639352380131846,0.03270394212758636
142,43,10,3,5,1.0,1,5,8,2.68633,4,50.0,2.556445000000001,13321,2.56574,2.51644,2.533355,0.0,0.0,2.4845,0.048350351594926504,0.04489024058846083,0.05694572148619123,0.07513224361861713,-0.0036359084588164186,0.009032073836910693,0.028142596457189882
143,44,10,4,5,1.0,1,5,10,2.81054,5,41.25,2.723615,14601,2.79769,2.776885,2.75003,0.0,0.0,2.7297,0.030928220199676903,0.004572075117237346,0.021529670454787993,0.028763155834821866,-0.02719730945820157,-0.009698507314726962,-0.002234163051679358
144,45,10,5,5,1.0,1,5,10,3.1291,6,33.75,2.849165,82797,3.163755,3.272265,3.226745,0.0,0.0,3.138,0.08946182608417756,-0.01107506950880441,-0.031205458438528642,-0.0028442683199641065,-0.1104148057413312,-0.13252303745132346,-0.10137531522393393
145,46,10,1,5,5.0,1,5,5,2.26419,0,50.0,1.27305,78775,1.27498,1.21698,1.215105,0.0,0.0,1.1352,0.43774594888238183,0.436893546919649,0.46333788242152824,0.49862864865581075,-0.0015160441459486959,0.04551667255802986,0.10828325674561096
146,47,10,2,5,5.0,1,5,7,2.376914999999999,2,50.0,1.94808,89757,1.983265,1.99122,1.99838,0.0,0.0,1.8926,0.18041663248370227,0.1656138313738603,0.15925474827665234,0.20375781212201494,-0.01806137324955855,-0.025820294854420767,0.028479323231078792
147,48,10,3,5,5.0,1,5,8,2.56772,3,43.75,2.279995,1679,2.31557,2.33292,2.300005,0.0,0.0,2.2362,0.1120546632810431,0.09819995949714139,0.10426175751250133,0.12911065069400082,-0.01560310439277285,-0.008776335035822484,0.019208375456963637
148,49,10,4,5,5.0,1,5,10,2.667995,5,46.25,2.489069999999999,36861,2.63258,2.637645,2.64823,0.0,0.0,2.5635,0.06706346900949998,0.01327401288233298,0.007408184797947535,0.03916611537877695,-0.057656072348307184,-0.06394356124978443,-0.02990273475635515
149,50,10,5,5,5.0,1,5,10,3.05131,6,38.75,2.648655,86243,3.04183,3.117515,3.162075,0.0,0.0,3.0283,0.13196135430356135,0.0031068622984881684,-0.036300801950637666,0.007541023363735495,-0.1484432664880854,-0.19384178007328245,-0.14333501343134533
